pmcid	doi	journal	year	server_named	evidence_sentence
PMC11813165	10.1016/j.cell.2024.12.021	Cell	2025	True	...w.graphpad.com , RRID: SCR_002798 UNICORN™ version 7.8 Cytiva https://www.cytivalifesciences.com/en/us/shop/chromatography/software/unicorn-7-p-05649 AlphaFold Server Abramson et al.
PMC13274773	10.1016/j.cell.2025.10.044	Cell	2026	False	57 http://www2.mrc-lmb.cam.ac.uk/relion AlphaFold3 Abramson et al.
PMC12900036	10.1056/nejmoa2514824	NEJM	2026	False	10 Panel B shows representative paratopes modeled by AlphaFold3 webserver.
PMC11655355	10.1038/s41586-024-08271-6	Nature	2024	False	AlphaFold structure modelling Protein interaction models of RCD1-RST 499–572 in complex with ANAC046 319–338 or ANAC013 254–274 were generated using AlphaFold3 30 and analysed in PyMOL (The PyMOL Molecular Graphics System, version 3.0 Schrödinger, LLC.).
PMC12629983	10.1038/s41586-025-09661-0	Nature	2025	False	Structures of the V H Hs in complex with their respective toxins were determined by molecular replacement with Phaser-MR 78 using an AlphaFold 3 model for both the V H H and the target toxin as a search model.
PMC12571901	10.1038/s41586-025-09499-6	Nature	2025	True	Structure prediction Structures were predicted from protein sequences using Google AlphaFold3 server ( https://alphafoldserver.com/ ) 67 .
PMC12507698	10.1038/s41586-025-09429-6	Nature	2025	False	AlphaFold3 predictions of designed BindCraft complexes were performed using the AlphaFold3 server 49 with multiple-sequence alignments and templates enabled.
PMC12460158	10.1038/s41586-025-09339-7	Nature	2025	False	Model building and structure refinement Model building was first carried out by manually fitting the transmembrane domain of Shaker (Protein Data Bank ID: 8TEO ) and the T1 domain generated by AlphaFold3 (ref.
PMC12408340	10.1038/s41586-025-09155-z	Nature	2025	False	Conserved APN-interacting residues are shown in red (except for the FCoV1683 RBD, which is an AlphaFold3-predicted structure 62 ). f , Zoomed-in view of FCoV-23 S domain A and RBDs (domain B) showing the conformational masking and glycan shielding of the receptor-binding loops (labelled loop 1 and loop 2) in the context of the S trimer (only part of two protomers are shown for clarity). g , Amino ...
PMC12350162	10.1038/s41586-025-09229-y	Nature	2025	False	7 ) was predicted with the AlphaFold3.0 server 33 .
PMC12240809	10.1038/s41586-025-09090-z	Nature	2025	False	The tree was produced with FastTree, rooted with red algae homologues. g , Structural model of FoTO1, generated by AlphaFold3 and aligned with the Arabidopsis thaliana orthologue with FoldSeek. h , Bar graphs showing the integrated peak area of 2 and 2’a when N- or C-terminally truncated FoTO1 is transiently expressed in N. benthamiana leaves together with TDS and T5αH.
PMC12286853	10.1038/s41586-025-09073-0	Nature	2025	False	For visualizing a hypothetical OLE RNA–protein complex, AlphaFold 3 (server version) 47 was used to predict: (1) a OapA dimer with a OapC monomer; and (2) RpsU using the sequences in (Supplementary Table 4 ).
PMC11922769	10.1038/s41586-024-08551-1	Nature	2025	False	Structural prediction using AlphaFold 3 AlphaFold 3 was used to predict the structures of the SPO11–TOP6BL heterodimer, the SPO11–TOP6BL tetramer and the SPO11–TOP6BL tetramer in complex with DNA 44 .
PMC11922745	10.1038/s41586-025-08601-2	Nature	2025	False	Although we cannot exclude that the Flag tag affects function, we note that even larger tags (FKBP or FRB) do not appear to interfere with activity and that the N-terminus of SPO11 is predicted to be unstructured in the AlphaFold 3 models.
PMC11922746	10.1038/s41586-024-08574-8	Nature	2025	False	Quantifications show the mean and range from two independent experiments. e , AlphaFold 3 model of SPO11 dimer bound to a 40-bp duplex DNA substrate.
PMC11839466	10.1038/s41586-024-08443-4	Nature	2025	False	Right: AlphaFold3-predicted structures of Ets1 and Runx1 on example composite motifs.
PMC11839476	10.1038/s41586-024-08467-w	Nature	2025	False	Note that, since initiating our study, AlphaFold3 (AF3) and an accompanying webserver has been released 39 , which is capable of folding full-length apoB100 in a single run.
PMC11946911	10.1038/s41586-024-08493-8	Nature	2025	False	Model building and validation We used AlphaFold2 or AlphaFold3 24 to predict all of the initial models.
PMC13275315	10.1038/s41586-026-10429-3	Nature	2026	False	Structure determination was carried out by molecular replacement using Phaser within the Phenix software suite 51 , with an initial model generated by AlphaFold 3 52 .
PMC13149331	10.1038/s41586-026-10394-x	Nature	2026	False	The structure of human CEACAM6 in complex with CcCoV-KY43 was solved by molecular replacement using PHASER 66 with AlphaFold 3 (ref.
PMC13253352	10.1038/s41586-026-10375-0	Nature	2026	True	AlphaFold modelling To model the hypothetical ternary complex between claudin-4, BFT and E-cadherin, we used AF3 implemented in the AlphaFold server ( https://alphafoldserver.com/ ) 43 .
